tweet_id,retweet_count,favorite_count
834786237630337024,5105,20170
834574053763584002,2311,12789
834477809192075265,9747,0
834458053273591808,1544,9018
834209720923721728,4318,19214
834167344700198914,3358,14800
834089966724603904,1961,9424
834086379323871233,2037,12217
833863086058651648,2207,12585
833826103416520705,3483,17047
833732339549220864,204,0
833722901757046785,2994,19636
833479644947025920,1882,13972
833124694597443584,4435,18958
832998151111966721,2009,12404
832769181346996225,38,0
832757312314028032,3315,15817
832682457690300417,2664,11122
832645525019123713,484,2733
832636094638288896,2555,14864
832397543355072512,2036,11215
832369877331693569,2914,16049
832273440279240704,2140,10628
832215909146226688,5710,0
832215726631055365,8573,0
832088576586297345,2,58
832040443403784192,8807,0
832032802820481025,4294,16737
831939777352105988,5648,22447
831926988323639298,34,319
831911600680497154,5957,25787
831670449226514432,1686,9769
831650051525054464,1783,6668
831552930092285952,2157,8432
831322785565769729,1440,8745
831315979191906304,1036,6165
831309418084069378,2259,11069
831262627380748289,1885,11126
830956169170665475,1373,7490
830583320585068544,15378,62237
830173239259324417,5228,0
830097400375152640,2688,9132
829878982036299777,4591,0
829861396166877184,1790,11490
829501995190984704,9747,29823
829449946868879360,1858,9846
829141528400556032,6751,22849
829011960981237760,15063,50161
828801551087042563,3151,0
828770345708580865,5385,24015
828708714936930305,10298,34153
828650029636317184,1233,8927
828409743546925057,1078,6026
828408677031882754,1182,7229
828381636999917570,2055,11832
828376505180889089,991,6969
828372645993398273,2721,11836
828361771580813312,165,2063
828046555563323392,2648,11024
828011680017821696,1981,9749
827933404142436356,4814,18796
827653905312006145,2788,14559
827600520311402496,864,7051
827324948884643840,2800,14914
827199976799354881,2056,9979
826958653328592898,4591,20254
826848821049180160,9310,33967
826615380357632002,3672,0
826598799820865537,229,4841
826598365270007810,2174,9418
826476773533745153,3887,17329
826240494070030336,2412,12492
826204788643753985,855,4583
826115272272650244,2860,14699
825876512159186944,1735,9894
825829644528148480,2324,11984
825535076884762624,16310,53810
825147591692263424,4163,17216
825120256414846976,1165,0
825026590719483904,1165,5884
824796380199809024,5079,0
824775126675836928,3260,14017
824663926340194305,1637,9916
824325613288833024,9859,11147
824297048279236611,3557,14184
824025158776213504,556,4567
823939628516474880,2523,10031
823719002937630720,10320,0
823699002998870016,2331,13175
823581115634085888,2434,12220
823333489516937216,22,660
823322678127919110,3709,14779
823269594223824897,9190,0
822975315408461824,3192,16328
822872901745569793,39800,123645
822859134160621569,2106,12416
822647212903690241,5938,0
822610361945911296,2723,13924
822489057087389700,5938,17054
822462944365645825,13089,26204
822244816520155136,9190,33012
822163064745328640,4358,0
821886076407029760,2132,10646
821813639212650496,3115,0
821765923262631936,1555,7879
821522889702862852,1626,7551
821421320206483457,5113,0
821407182352777218,3980,11062
821153421864615936,9,234
821149554670182400,1821,8082
821107785811234820,1968,9038
821044531881721856,2117,11910
820837357901512704,6218,0
820749716845686786,9163,29730
820690176645140481,2992,11549
