year,city,country,avg_temp,sf_moving_avg_temp
1916,San Francisco,United States,13.61,14.2455882352941176
1917,San Francisco,United States,14.06,14.2428985507246377
1918,San Francisco,United States,14.14,14.2414285714285714
1919,San Francisco,United States,13.60,14.2323943661971831
1920,San Francisco,United States,13.72,14.2252777777777778
1921,San Francisco,United States,14.24,14.2254794520547945
1922,San Francisco,United States,13.61,14.2171621621621622
1923,San Francisco,United States,14.13,14.2160000000000000
1924,San Francisco,United States,14.10,14.2144736842105263
1925,San Francisco,United States,14.34,14.2161038961038961
1926,San Francisco,United States,15.14,14.2279487179487179
1927,San Francisco,United States,14.24,14.2281012658227848
1928,San Francisco,United States,14.32,14.2292500000000000
1929,San Francisco,United States,14.25,14.2295061728395062
1930,San Francisco,United States,14.25,14.2297560975609756
1931,San Francisco,United States,14.93,14.2381927710843373
1932,San Francisco,United States,14.24,14.2382142857142857
1933,San Francisco,United States,13.93,14.2345882352941176
1934,San Francisco,United States,15.31,14.2470930232558140
1935,San Francisco,United States,14.12,14.2456321839080460
1936,San Francisco,United States,15.13,14.2556818181818182
1937,San Francisco,United States,14.36,14.2568539325842697
1938,San Francisco,United States,14.35,14.2578888888888889
1939,San Francisco,United States,14.81,14.2639560439560440
1940,San Francisco,United States,15.12,14.2732608695652174
1941,San Francisco,United States,14.98,14.2808602150537634
1942,San Francisco,United States,14.20,14.2800000000000000
1943,San Francisco,United States,14.72,14.2846315789473684
1944,San Francisco,United States,14.17,14.2834375000000000
1945,San Francisco,United States,14.41,14.2847422680412371
1946,San Francisco,United States,13.83,14.2801020408163265
1947,San Francisco,United States,14.51,14.2824242424242424
1948,San Francisco,United States,13.65,14.2761000000000000
1949,San Francisco,United States,13.90,14.2723762376237624
1950,San Francisco,United States,14.66,14.2761764705882353
1951,San Francisco,United States,14.06,14.2740776699029126
1952,San Francisco,United States,14.11,14.2725000000000000
1953,San Francisco,United States,14.42,14.2739047619047619
1954,San Francisco,United States,14.18,14.2730188679245283
1955,San Francisco,United States,13.74,14.2680373831775701
1956,San Francisco,United States,14.08,14.2662962962962963
1957,San Francisco,United States,14.59,14.2692660550458716
1958,San Francisco,United States,15.41,14.2796363636363636
1959,San Francisco,United States,15.39,14.2896396396396396
1960,San Francisco,United States,14.59,14.2923214285714286
1961,San Francisco,United States,14.65,14.2954867256637168
1962,San Francisco,United States,14.22,14.2948245614035088
1963,San Francisco,United States,14.19,14.2939130434782609
1964,San Francisco,United States,14.24,14.2934482758620690
1965,San Francisco,United States,14.14,14.2921367521367521
1966,San Francisco,United States,14.74,14.2959322033898305
1967,San Francisco,United States,14.50,14.2976470588235294
1968,San Francisco,United States,14.66,14.3006666666666667
1969,San Francisco,United States,14.51,14.3023966942148760
1970,San Francisco,United States,14.76,14.3061475409836066
1971,San Francisco,United States,13.89,14.3027642276422764
1972,San Francisco,United States,14.25,14.3023387096774194
1973,San Francisco,United States,14.58,14.3045600000000000
1974,San Francisco,United States,14.41,14.3053968253968254
1975,San Francisco,United States,13.82,14.3015748031496063
1976,San Francisco,United States,14.72,14.3048437500000000
1977,San Francisco,United States,14.63,14.3073643410852713
1978,San Francisco,United States,14.96,14.3123846153846154
1979,San Francisco,United States,14.99,14.3175572519083969
1980,San Francisco,United States,14.74,14.3207575757575758
1981,San Francisco,United States,15.22,14.3275187969924812
1982,San Francisco,United States,14.00,14.3250746268656716
1983,San Francisco,United States,15.07,14.3305925925925926
1984,San Francisco,United States,14.97,14.3352941176470588
1985,San Francisco,United States,14.23,14.3345255474452555
1986,San Francisco,United States,15.00,14.3393478260869565
1987,San Francisco,United States,14.95,14.3437410071942446
1988,San Francisco,United States,15.08,14.3490000000000000
1989,San Francisco,United States,14.45,14.3497163120567376
1990,San Francisco,United States,14.73,14.3523943661971831
1991,San Francisco,United States,14.50,14.3534265734265734
1992,San Francisco,United States,15.53,14.3615972222222222
1993,San Francisco,United States,14.97,14.3657931034482759
1994,San Francisco,United States,14.21,14.3647260273972603
1995,San Francisco,United States,15.31,14.3711564625850340
1996,San Francisco,United States,15.56,14.3791891891891892
1997,San Francisco,United States,15.75,14.3883892617449664
1998,San Francisco,United States,14.38,14.3883333333333333
1999,San Francisco,United States,14.41,14.3884768211920530
2000,San Francisco,United States,15.02,14.3926315789473684
2001,San Francisco,United States,15.25,14.3982352941176471
2002,San Francisco,United States,15.00,14.4021428571428571
2003,San Francisco,United States,15.43,14.4087741935483871
2004,San Francisco,United States,15.37,14.4149358974358974
2005,San Francisco,United States,15.17,14.4197452229299363
2006,San Francisco,United States,15.02,14.4235443037974684
2007,San Francisco,United States,14.94,14.4267924528301887
2008,San Francisco,United States,15.05,14.4306875000000000
2009,San Francisco,United States,15.02,14.4343478260869565
2010,San Francisco,United States,14.67,14.4358024691358025
2011,San Francisco,United States,14.50,14.4361963190184049
2012,San Francisco,United States,15.05,14.4399390243902439
2013,San Francisco,United States,16.23,14.4507878787878788
