year,city,country,avg_temp,lv_moving_avg_temp
1927,Las Vegas,United States,17.41,17.4903409090909091
1928,Las Vegas,United States,17.53,17.4907865168539326
1929,Las Vegas,United States,17.11,17.4865555555555556
1930,Las Vegas,United States,16.95,17.4806593406593407
1931,Las Vegas,United States,17.66,17.4826086956521739
1932,Las Vegas,United States,17.00,17.4774193548387097
1933,Las Vegas,United States,17.13,17.4737234042553191
1934,Las Vegas,United States,19.21,17.4920000000000000
1935,Las Vegas,United States,17.39,17.4909375000000000
1936,Las Vegas,United States,17.94,17.4955670103092784
1937,Las Vegas,United States,17.37,17.4942857142857143
1938,Las Vegas,United States,17.23,17.4916161616161616
1939,Las Vegas,United States,17.58,17.4925000000000000
1940,Las Vegas,United States,18.29,17.5003960396039604
1941,Las Vegas,United States,16.48,17.4903921568627451
1942,Las Vegas,United States,17.53,17.4907766990291262
1943,Las Vegas,United States,18.06,17.4962500000000000
1944,Las Vegas,United States,16.73,17.4889523809523810
1945,Las Vegas,United States,17.00,17.4843396226415094
1946,Las Vegas,United States,17.30,17.4826168224299065
1947,Las Vegas,United States,17.73,17.4849074074074074
1948,Las Vegas,United States,16.59,17.4766972477064220
1949,Las Vegas,United States,16.60,17.4687272727272727
1950,Las Vegas,United States,18.01,17.4736036036036036
1951,Las Vegas,United States,16.98,17.4691964285714286
1952,Las Vegas,United States,17.07,17.4656637168141593
1953,Las Vegas,United States,17.42,17.4652631578947368
1954,Las Vegas,United States,18.13,17.4710434782608696
1955,Las Vegas,United States,16.85,17.4656896551724138
1956,Las Vegas,United States,17.45,17.4655555555555556
1957,Las Vegas,United States,17.34,17.4644915254237288
1958,Las Vegas,United States,18.13,17.4700840336134454
1959,Las Vegas,United States,18.15,17.4757500000000000
1960,Las Vegas,United States,17.90,17.4792561983471074
1961,Las Vegas,United States,17.48,17.4792622950819672
1962,Las Vegas,United States,17.70,17.4810569105691057
1963,Las Vegas,United States,17.50,17.4812096774193548
1964,Las Vegas,United States,16.80,17.4757600000000000
1965,Las Vegas,United States,16.83,17.4706349206349206
1966,Las Vegas,United States,17.73,17.4726771653543307
1967,Las Vegas,United States,17.45,17.4725000000000000
1968,Las Vegas,United States,17.43,17.4721705426356589
1969,Las Vegas,United States,17.63,17.4733846153846154
1970,Las Vegas,United States,17.37,17.4725954198473282
1971,Las Vegas,United States,16.73,17.4669696969696970
1972,Las Vegas,United States,17.40,17.4664661654135338
1973,Las Vegas,United States,17.03,17.4632089552238806
1974,Las Vegas,United States,17.56,17.4639259259259259
1975,Las Vegas,United States,16.69,17.4582352941176471
1976,Las Vegas,United States,17.16,17.4560583941605839
1977,Las Vegas,United States,17.91,17.4593478260869565
1978,Las Vegas,United States,17.46,17.4593525179856115
1979,Las Vegas,United States,17.17,17.4572857142857143
1980,Las Vegas,United States,17.73,17.4592198581560284
1981,Las Vegas,United States,18.63,17.4674647887323944
1982,Las Vegas,United States,16.65,17.4617482517482517
1983,Las Vegas,United States,17.14,17.4595138888888889
1984,Las Vegas,United States,17.44,17.4593793103448276
1985,Las Vegas,United States,17.43,17.4591780821917808
1986,Las Vegas,United States,18.19,17.4641496598639456
1987,Las Vegas,United States,17.48,17.4642567567567568
1988,Las Vegas,United States,17.95,17.4675167785234899
1989,Las Vegas,United States,18.38,17.4736000000000000
1990,Las Vegas,United States,17.64,17.4747019867549669
1991,Las Vegas,United States,17.32,17.4736842105263158
1992,Las Vegas,United States,17.80,17.4758169934640523
1993,Las Vegas,United States,17.31,17.4747402597402597
1994,Las Vegas,United States,18.06,17.4785161290322581
1995,Las Vegas,United States,18.14,17.4827564102564103
1996,Las Vegas,United States,18.77,17.4909554140127389
1997,Las Vegas,United States,18.15,17.4951265822784810
1998,Las Vegas,United States,16.71,17.4901886792452830
1999,Las Vegas,United States,17.87,17.4925625000000000
2000,Las Vegas,United States,18.51,17.4988819875776398
2001,Las Vegas,United States,18.50,17.5050617283950617
2002,Las Vegas,United States,18.20,17.5093251533742331
2003,Las Vegas,United States,18.65,17.5162804878048780
2004,Las Vegas,United States,17.96,17.5189696969696970
2005,Las Vegas,United States,17.95,17.5215662650602410
2006,Las Vegas,United States,18.11,17.5250898203592814
2007,Las Vegas,United States,18.55,17.5311904761904762
2008,Las Vegas,United States,18.10,17.5345562130177515
2009,Las Vegas,United States,18.04,17.5375294117647059
2010,Las Vegas,United States,17.65,17.5381871345029240
2011,Las Vegas,United States,17.35,17.5370930232558140
2012,Las Vegas,United States,18.81,17.5444508670520231
2013,Las Vegas,United States,20.54,17.5616666666666667
